                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.67422,                 3.9801,                 1.1477,                0.14398,                0.39713,                0.15932,                0.14552,                 0.9675,                 2.3916,                 1.5911,               0.070216,              0.0033094,              0.0033094
                      1,                0.59613,                 2.1046,                  1.083,                0.25053,                0.50572,                0.31738,                0.28889,                0.93851,                 2.2136,                 1.6484,               0.039953,              0.0063796,              0.0063796
                      2,                0.61217,                 1.7552,                 1.0772,                0.33756,                0.54135,                 0.3944,                0.35406,                0.98981,                 2.1097,                 1.6431,              0.0094257,              0.0091859,              0.0091859
                      3,                0.63484,                 1.5756,                 1.0741,                0.37045,                0.61433,                0.47493,                0.43222,                0.88823,                 2.7061,                 1.5467,               0.008812,               0.008812,               0.008812
                      4,                0.63464,                 1.4502,                 1.0918,                0.49471,                0.59414,                0.54957,                 0.4928,                0.99415,                 1.9766,                  1.831,               0.008812,               0.008812,               0.008812
                      5,                0.60693,                  1.317,                 1.0719,                0.63807,                0.61926,                0.68519,                 0.6233,                0.76339,                 1.9028,                 1.5213,               0.008416,               0.008416,               0.008416
                      6,                0.60558,                 1.2177,                 1.0867,                0.61014,                0.69012,                0.70226,                 0.6438,                0.80514,                 1.8915,                 1.4357,                0.00802,                0.00802,                0.00802
                      7,                0.57845,                 1.0842,                 1.0639,                0.68236,                0.70115,                0.74006,                0.67769,                0.93142,                 1.6666,                 1.6063,               0.007624,               0.007624,               0.007624
                      8,                0.56499,                 1.0268,                 1.0546,                0.71595,                0.71199,                0.75626,                 0.6967,                0.83136,                 1.5696,                 1.4832,               0.007228,               0.007228,               0.007228
                      9,                0.56427,                0.97752,                 1.0557,                0.80724,                0.71471,                0.80363,                0.74955,                 0.8037,                 1.6783,                 1.5115,               0.006832,               0.006832,               0.006832
                     10,                0.55109,                0.92556,                 1.0421,                0.79468,                0.74235,                 0.8072,                0.76032,                0.78679,                 1.4861,                 1.4448,               0.006436,               0.006436,               0.006436
                     11,                0.52895,                  0.872,                 1.0332,                0.80028,                0.75216,                0.80846,                0.75933,                0.76889,                 1.6397,                 1.4737,                0.00604,                0.00604,                0.00604
                     12,                0.52621,                0.82255,                 1.0324,                0.82332,                0.74293,                 0.8084,                0.75614,                0.76929,                 1.5568,                 1.4476,               0.005644,               0.005644,               0.005644
                     13,                0.50595,                0.80356,                 1.0148,                0.84511,                 0.7796,                0.83323,                0.78766,                0.65342,                 1.5864,                 1.3528,               0.005248,               0.005248,               0.005248
                     14,                0.49814,                0.75816,                 1.0095,                0.84183,                0.77536,                0.83585,                 0.7885,                0.67179,                 1.5333,                 1.3598,               0.004852,               0.004852,               0.004852
                     15,                0.44208,                 0.6167,                0.99248,                0.82797,                0.75546,                0.80707,                0.75605,                0.74923,                 1.6004,                 1.4394,               0.004456,               0.004456,               0.004456
                     16,                0.42659,                0.60344,                0.98417,                0.86277,                0.77717,                0.83748,                0.78248,                0.65513,                 1.3461,                 1.4204,                0.00406,                0.00406,                0.00406
                     17,                0.42213,                 0.5537,                0.97931,                0.88531,                0.79887,                0.85037,                0.80367,                0.61514,                 1.3849,                 1.3396,               0.003664,               0.003664,               0.003664
                     18,                0.41127,                0.51732,                0.97761,                0.87754,                0.79238,                0.84405,                0.80949,                0.63742,                 1.5624,                  1.313,               0.003268,               0.003268,               0.003268
                     19,                0.39205,                0.50202,                0.95679,                0.89138,                0.77864,                0.83331,                0.79342,                0.66015,                 2.1682,                 1.3451,               0.002872,               0.002872,               0.002872
                     20,                0.39043,                0.45842,                0.95622,                0.88868,                0.80765,                0.86329,                0.82515,                0.56636,                 1.2514,                 1.2637,               0.002476,               0.002476,               0.002476
                     21,                0.37413,                0.44998,                0.93485,                0.86299,                0.79744,                0.85352,                0.82088,                0.56961,                 1.3338,                 1.2482,                0.00208,                0.00208,                0.00208
                     22,                0.35707,                0.43072,                0.93644,                0.88887,                0.79084,                0.85488,                  0.824,                 0.5814,                 1.4842,                 1.2533,               0.001684,               0.001684,               0.001684
                     23,                0.35315,                0.39097,                0.92301,                0.93861,                0.80602,                0.87267,                0.83444,                0.53682,                  1.188,                 1.2132,               0.001288,               0.001288,               0.001288
                     24,                0.34469,                0.36193,                0.92231,                0.93056,                 0.8108,                0.87196,                0.84414,                0.52545,                 1.2508,                 1.2026,               0.000892,               0.000892,               0.000892
