                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1632,                 2.5872,                  1.645,                 0.7494,                0.75532,                0.80151,                 0.4917,                 1.1767,                 1.4807,                 1.8787,               0.070882,              0.0032353,              0.0032353
                      1,                0.88351,                0.97853,                 1.4309,                 0.8587,                0.81891,                0.89951,                0.56505,                 1.1475,                 1.2077,                  1.849,               0.040622,              0.0063085,              0.0063085
                      2,                0.88112,                0.97004,                 1.4146,                0.87321,                0.84043,                0.90011,                0.59808,                 1.1445,                0.98277,                 1.8467,               0.010098,              0.0091177,              0.0091177
                      3,                0.86722,                0.84279,                 1.3771,                0.77942,                0.76432,                0.82844,                0.49096,                  1.277,                 1.0748,                 2.1367,               0.008812,               0.008812,               0.008812
                      4,                0.90184,                0.83206,                 1.4479,                0.49336,                 0.5461,                0.40525,                0.18201,                 2.1301,                  1.836,                 3.4769,               0.008812,               0.008812,               0.008812
                      5,                0.90585,                0.88804,                 1.4176,                0.83355,                0.76359,                0.84505,                 0.5084,                 1.2768,                 1.0904,                 2.2128,               0.008416,               0.008416,               0.008416
                      6,                0.94561,                0.86404,                 1.4484,                0.74688,                0.70104,                0.76187,                 0.3617,                 1.6688,                 1.3648,                   2.75,                0.00802,                0.00802,                0.00802
                      7,                0.90342,                0.86654,                 1.4158,                0.83019,                0.81483,                 0.8538,                0.51011,                  1.277,                 1.1822,                  2.125,               0.007624,               0.007624,               0.007624
                      8,                0.85302,                0.77496,                 1.3759,                0.90096,                0.83877,                0.94027,                 0.6731,                0.92627,                 0.8613,                 1.6118,               0.007228,               0.007228,               0.007228
                      9,                0.86149,                 0.7601,                 1.3668,                0.86627,                0.87943,                0.93526,                0.64703,                 1.0069,                0.76576,                 1.7128,               0.006832,               0.006832,               0.006832
                     10,                0.85228,                0.75329,                 1.3848,                0.86615,                0.85461,                0.91037,                0.60798,                 1.0275,                 0.8039,                 1.7411,               0.006436,               0.006436,               0.006436
                     11,                0.80875,                0.72591,                 1.3231,                0.86467,                0.84043,                0.91525,                0.65374,                0.93291,                 0.8179,                 1.6458,                0.00604,                0.00604,                0.00604
                     12,                0.76014,                0.67503,                 1.2692,                0.91697,                0.91135,                0.95643,                0.69827,                0.80931,                0.75568,                 1.5182,               0.005644,               0.005644,               0.005644
                     13,                0.76837,                0.67547,                 1.3322,                0.89728,                0.88298,                0.93427,                0.64161,                0.93296,                0.69347,                  1.667,               0.005248,               0.005248,               0.005248
                     14,                0.78703,                0.66411,                 1.2969,                0.93767,                0.91489,                0.96449,                0.75289,                0.76597,                0.57215,                 1.4732,               0.004852,               0.004852,               0.004852
                     15,                0.67523,                0.60201,                  1.312,                0.91986,                 0.9539,                0.96125,                0.75762,                0.76399,                 0.5782,                 1.4764,               0.004456,               0.004456,               0.004456
                     16,                0.60249,                0.52986,                 1.2414,                0.91512,                0.95581,                0.97405,                0.79109,                 0.6736,                0.54315,                 1.3837,                0.00406,                0.00406,                0.00406
                     17,                 0.5818,                0.49317,                 1.2168,                0.96221,                0.91844,                 0.9719,                0.74417,                0.79962,                0.61253,                 1.4924,               0.003664,               0.003664,               0.003664
                     18,                0.57756,                0.50304,                 1.2381,                0.93832,                0.97095,                0.98163,                 0.7934,                0.71855,                0.51406,                 1.4417,               0.003268,               0.003268,               0.003268
                     19,                 0.5525,                0.48707,                 1.1887,                0.91704,                0.94073,                0.96959,                0.79542,                0.65482,                0.53006,                 1.3757,               0.002872,               0.002872,               0.002872
                     20,                0.52869,                0.45334,                  1.166,                0.95948,                0.94326,                 0.9785,                0.81026,                0.65187,                0.49979,                 1.3537,               0.002476,               0.002476,               0.002476
                     21,                0.51362,                0.43753,                 1.1751,                0.95414,                0.95914,                0.98469,                0.83808,                0.61164,                0.46569,                 1.3056,                0.00208,                0.00208,                0.00208
                     22,                0.49773,                0.40913,                 1.1448,                0.96219,                0.97163,                 0.9847,                0.84059,                0.59752,                0.43774,                 1.2925,               0.001684,               0.001684,               0.001684
                     23,                0.46786,                 0.3878,                 1.1164,                0.95801,                0.97086,                0.98209,                0.85523,                0.57915,                0.40254,                   1.27,               0.001288,               0.001288,               0.001288
                     24,                0.46775,                0.38233,                 1.1311,                0.95479,                0.96454,                0.97598,                0.85645,                0.55739,                0.43515,                 1.2492,               0.000892,               0.000892,               0.000892
