                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1953,                 1.7204,                 1.5341,                0.93176,                0.88372,                0.94169,                0.64649,                 1.0463,                0.73651,                 1.4471,               0.070254,              0.0033051,              0.0033051
                      1,                0.97053,                0.80961,                 1.3358,                0.90363,                0.87907,                0.93538,                 0.6572,                 1.0874,                0.67678,                 1.4705,               0.039991,              0.0063755,              0.0063755
                      2,                0.99264,                0.86516,                 1.3541,                0.89494,                0.90698,                0.93921,                0.56084,                 1.3118,                0.82094,                 1.6883,              0.0094645,               0.009182,               0.009182
                      3,                 1.0343,                0.89557,                 1.3987,                0.83841,                0.72396,                0.83066,                0.51925,                 1.2772,                 1.0238,                 1.6735,               0.008812,               0.008812,               0.008812
                      4,                 1.0463,                0.87434,                 1.3859,                0.86065,                0.94884,                0.94217,                0.62388,                 1.1335,                0.79731,                 1.5192,               0.008812,               0.008812,               0.008812
                      5,                 1.0103,                 0.8277,                 1.3697,                0.93508,                0.95814,                0.97748,                  0.668,                 1.0837,                0.63479,                 1.4937,               0.008416,               0.008416,               0.008416
                      6,                0.99799,                0.79691,                 1.3608,                 0.9329,                0.92093,                0.96673,                0.65938,                 1.1152,                0.78736,                 1.5041,                0.00802,                0.00802,                0.00802
                      7,                0.92664,                0.73705,                 1.3129,                0.95391,                0.96268,                0.97342,                0.66518,                 1.0725,                 0.6089,                 1.4764,               0.007624,               0.007624,               0.007624
                      8,                0.94748,                0.76326,                 1.3167,                0.96904,                0.94884,                0.98281,                0.66867,                   1.13,                0.61485,                 1.5203,               0.007228,               0.007228,               0.007228
                      9,                0.91061,                0.72029,                 1.3031,                0.94096,                0.96362,                0.98224,                0.67372,                 1.0927,                0.59334,                 1.4404,               0.006832,               0.006832,               0.006832
                     10,                0.87066,                0.68546,                 1.2649,                0.94827,                0.93797,                0.97641,                0.67906,                 1.0336,                0.57662,                 1.4046,               0.006436,               0.006436,               0.006436
                     11,                0.84795,                 0.6557,                 1.2504,                0.98813,                0.97674,                0.99115,                0.70078,                 1.0463,                 0.5016,                 1.4253,                0.00604,                0.00604,                0.00604
                     12,                0.84349,                0.63458,                  1.248,                0.97149,                 0.9509,                0.98712,                0.68521,                  1.102,                0.53734,                 1.4887,               0.005644,               0.005644,               0.005644
                     13,                0.82016,                0.62252,                 1.2402,                0.98145,                0.98408,                0.98971,                0.70522,                 1.0159,                0.49488,                 1.4133,               0.005248,               0.005248,               0.005248
                     14,                0.79755,                 0.5903,                 1.2148,                0.98547,                0.99535,                0.99023,                0.70597,                 1.0114,                0.46556,                 1.3801,               0.004852,               0.004852,               0.004852
                     15,                0.78284,                 0.5466,                 1.2858,                0.98153,                0.98857,                0.99051,                0.72241,                0.96861,                0.47748,                 1.3984,               0.004456,               0.004456,               0.004456
                     16,                0.76651,                0.52497,                 1.2744,                0.98144,                0.98378,                0.99387,                0.70286,                 1.0148,                0.45824,                 1.3931,                0.00406,                0.00406,                0.00406
                     17,                0.74588,                0.51433,                 1.2497,                0.99045,                 0.9907,                 0.9933,                0.71905,                0.96329,                0.44635,                 1.3738,               0.003664,               0.003664,               0.003664
                     18,                0.72308,                0.50126,                 1.2356,                0.98141,                0.98197,                 0.9918,                0.73195,                0.95754,                0.43463,                 1.3598,               0.003268,               0.003268,               0.003268
                     19,                0.69875,                0.46872,                 1.2073,                 0.9854,                 0.9907,                0.98893,                0.73307,                0.94496,                0.41459,                 1.3284,               0.002872,               0.002872,               0.002872
                     20,                0.67796,                0.45911,                 1.1886,                0.99508,                 0.9907,                0.99187,                0.73103,                0.97597,                0.42492,                 1.3598,               0.002476,               0.002476,               0.002476
                     21,                0.66276,                 0.4429,                 1.1803,                0.99073,                0.99429,                0.99057,                0.74253,                 0.9246,                0.39647,                 1.3197,                0.00208,                0.00208,                0.00208
                     22,                0.63831,                0.42556,                 1.1613,                0.99077,                0.98605,                0.99035,                0.73593,                0.92769,                 0.3888,                 1.3166,               0.001684,               0.001684,               0.001684
                     23,                0.62308,                0.41466,                 1.1493,                0.98617,                0.99535,                0.99067,                0.74036,                0.95149,                 0.4032,                 1.3251,               0.001288,               0.001288,               0.001288
                     24,                0.59514,                0.39542,                 1.1396,                0.98599,                 0.9907,                  0.991,                 0.7417,                0.93414,                0.38909,                 1.3203,               0.000892,               0.000892,               0.000892
