                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.68489,                 4.4992,                0.97144,                0.19853,                  0.283,                0.11028,                0.10538,                0.24273,                 3.4538,                0.83917,                 0.0811,                 0.0021,                 0.0021
                      1,                0.33031,                 2.1914,                0.85246,                0.55141,                0.73428,                0.68245,                0.64411,                0.31751,                 1.7019,                0.83163,                0.06113,              0.0041297,              0.0041297
                      2,                0.39055,                  1.177,                0.85012,                0.88107,                0.92729,                0.97487,                0.93167,                0.29967,                0.68635,                0.83736,               0.040985,              0.0059852,              0.0059852
                      3,                0.42463,                0.85413,                0.85991,                0.97187,                0.98635,                0.99478,                0.89068,                0.47824,                0.51036,                0.87094,               0.020666,              0.0076664,              0.0076664
                      4,                0.52612,                0.77882,                0.86037,                0.98535,                0.98632,                  0.995,                0.90941,                0.39512,                0.44998,                0.84233,               0.008416,               0.008416,               0.008416
                      5,                0.48289,                 0.6575,                0.86025,                0.99023,                0.99266,                  0.995,                 0.9372,                0.35198,                0.39165,                0.84117,               0.008416,               0.008416,               0.008416
                      6,                0.44841,                 0.6243,                0.85034,                0.98948,                0.99397,                  0.995,                0.92255,                0.36371,                0.38741,                0.83773,                0.00802,                0.00802,                0.00802
                      7,                0.40813,                0.56633,                0.84968,                0.99414,                0.99709,                  0.995,                 0.9341,                0.35322,                0.34353,                0.85626,               0.007624,               0.007624,               0.007624
                      8,                0.37687,                0.50811,                0.84801,                0.99484,                0.99744,                  0.995,                0.95593,                0.30233,                0.31324,                0.83646,               0.007228,               0.007228,               0.007228
                      9,                0.35157,                0.49328,                0.83867,                0.99338,                0.99886,                  0.995,                0.96835,                0.25677,                0.29962,                0.82446,               0.006832,               0.006832,               0.006832
                     10,                0.35519,                0.46913,                0.82734,                0.99285,                0.99748,                  0.995,                0.94591,                  0.329,                0.29043,                0.83067,               0.006436,               0.006436,               0.006436
                     11,                0.32471,                0.45558,                0.83262,                0.99536,                0.99741,                  0.995,                0.97894,                0.21758,                0.24009,                0.82593,                0.00604,                0.00604,                0.00604
                     12,                 0.2929,                0.41164,                 0.8284,                 0.9959,                0.99813,                0.99496,                0.98208,                0.24333,                0.24565,                0.83241,               0.005644,               0.005644,               0.005644
                     13,                 0.2734,                0.39689,                0.82428,                0.99683,                0.99889,                  0.995,                0.99057,                0.19133,                0.20211,                0.81942,               0.005248,               0.005248,               0.005248
                     14,                 0.2687,                 0.3679,                0.81878,                0.99599,                0.99987,                  0.995,                0.98984,                0.19246,                0.19531,                0.81602,               0.004852,               0.004852,               0.004852
                     15,                0.22272,                0.26682,                0.79966,                0.99526,                0.99907,                  0.995,                0.98144,                 0.2529,                0.23253,                0.82131,               0.004456,               0.004456,               0.004456
                     16,                0.22155,                0.25435,                0.78664,                0.99607,                0.99936,                  0.995,                0.99361,                0.17342,                0.19044,                 0.8177,                0.00406,                0.00406,                0.00406
                     17,                 0.2009,                0.23387,                0.79545,                0.99665,                0.99992,                  0.995,                0.99435,                0.16444,                0.18039,                0.81604,               0.003664,               0.003664,               0.003664
                     18,                0.18707,                0.22202,                 0.7855,                0.99692,                0.99979,                  0.995,                 0.9923,                0.17709,                0.18675,                0.81598,               0.003268,               0.003268,               0.003268
                     19,                0.17047,                0.21126,                0.79454,                0.99716,                      1,                  0.995,                0.99447,                0.14439,                0.16327,                0.81098,               0.002872,               0.002872,               0.002872
                     20,                0.15937,                 0.1975,                0.77433,                0.99728,                      1,                  0.995,                0.99445,                0.13653,                0.15248,                0.80972,               0.002476,               0.002476,               0.002476
                     21,                0.14913,                0.18963,                0.77308,                0.99726,                      1,                  0.995,                 0.9949,                  0.119,                0.14814,                0.80716,                0.00208,                0.00208,                0.00208
                     22,                0.14083,                 0.1806,                 0.7805,                0.99728,                      1,                  0.995,                  0.995,                0.10981,                0.13626,                0.80531,               0.001684,               0.001684,               0.001684
                     23,                0.12914,                0.16537,                0.76681,                0.99743,                      1,                  0.995,                0.99483,                0.10552,                0.13101,                0.80359,               0.001288,               0.001288,               0.001288
                     24,                0.12497,                0.15776,                0.75941,                0.99687,                      1,                  0.995,                  0.995,                 0.0965,                0.12456,                0.80285,               0.000892,               0.000892,               0.000892
